time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349622.00551,2600.000,2600.005,2600.006,2600.018,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2322.374,2322.497,2322.366,2322.499,2321.448,2321.602,2321.439,2321.604
1722349623.0223184,2600.000,2599.972,2600.000,2599.980,2600.000,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2322.216,2322.246,2322.227,2321.930,2321.660,2321.631,2321.628,2321.621
1722349624.0392108,2599.993,2599.947,2600.000,2599.976,2600.000,800.000,2599.993,800.000,2600.000,800.000,2599.993,800.000,2600.006,800.000,2600.000,800.000,2321.963,2322.018,2321.945,2322.001,2321.727,2321.723,2321.715,2321.802
1722349625.0556874,2600.000,2600.013,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.457,2322.487,2322.480,2322.462,2321.493,2321.524,2321.498,2321.517
1722349626.0724084,2600.000,2600.000,2600.000,2599.990,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2322.523,2322.530,2322.539,2322.548,2322.041,2322.020,2322.092,2321.993
1722349627.0891068,2600.000,2599.994,2600.000,2600.000,2599.993,800.000,2600.006,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.603,2322.744,2322.801,2322.754,2321.736,2321.759,2321.802,2321.774
1722349628.105816,2600.000,2600.000,2600.000,2599.977,2600.006,800.000,2600.000,800.000,2599.993,800.000,2600.006,800.000,2599.993,800.000,2600.006,800.000,2322.269,2322.260,2322.379,2322.268,2321.587,2321.633,2321.552,2321.575
1722349629.1223147,2600.000,2599.986,2600.000,2600.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2322.430,2322.579,2322.508,2322.436,2321.503,2321.380,2321.493,2321.489
1722349630.1381536,2600.000,2599.974,2600.006,2600.000,2600.000,800.000,2599.993,800.000,2599.986,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2322.567,2322.492,2322.518,2322.484,2323.177,2323.158,2323.250,2322.973
1722349631.1546159,2600.000,2646.242,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.476,2322.388,2322.478,2322.473,2321.811,2321.807,2322.086,2321.812
1722349632.1715539,2600.000,2600.000,2600.006,2600.019,2600.006,800.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2599.993,800.000,2599.993,800.000,2321.505,2321.461,2321.482,2321.554,2321.506,2321.513,2321.424,2321.504
1722349633.1880286,2600.000,2684.224,2599.993,2599.989,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.215,2322.147,2322.146,2322.153,2321.565,2321.574,2321.759,2321.667
